date,max_temp,time,min_temp,time,max_humidity,time,min_humidity,time,avg_wind_speed (km/h),avg_wind_direction,rain,max_soil_temp,min_soil_temp,solar_rad
2020-08-09T00:00:00,15.5,2020-08-09T15:09:52,4.8,2020-08-09T06:40:00,95,2020-08-09T06:49:36,44,2020-08-09T14:40:00,14,264.8,0,NA,NA,119
2020-08-10T00:00:00,13.5,2020-08-10T16:09:36,7.1,2020-08-10T23:30:08,93,2020-08-10T23:39:44,66,2020-08-10T15:30:08,17.3,256.7,0,NA,NA,75
2020-08-11T00:00:00,23,2020-08-11T15:39:44,5.9,2020-08-11T00:59:44,95,2020-08-11T05:40:16,41,2020-08-11T15:39:44,5,179.2,0,NA,NA,128
2020-08-12T00:00:00,23.4,2020-08-12T15:09:52,7.4,2020-08-12T06:40:00,92,2020-08-12T05:10:24,39,2020-08-12T15:39:44,8.7,131.1,0,NA,NA,118
2020-08-13T00:00:00,27.5,2020-08-13T15:20:32,7.8,2020-08-13T04:59:44,89,2020-08-13T05:20:00,30,2020-08-13T15:00:16,6.5,210.7,0,NA,NA,135
2020-08-14T00:00:00,30.4,2020-08-14T14:19:44,7.7,2020-08-14T05:40:16,91,2020-08-14T23:30:08,25,2020-08-14T14:10:08,14.5,149.3,3.8,NA,NA,102
2020-08-15T00:00:00,20.3,2020-08-15T13:29:36,9.7,2020-08-15T23:50:24,95,2020-08-15T03:30:08,60,2020-08-15T14:30:24,12.5,248.7,22,NA,NA,64
2020-08-16T00:00:00,18,2020-08-16T14:10:08,6.9,2020-08-16T23:50:24,93,2020-08-16T00:20:16,54,2020-08-16T14:49:36,11.1,261.7,0,NA,NA,74
2020-08-17T00:00:00,18,2020-08-17T15:30:08,4.7,2020-08-17T04:00:00,93,2020-08-17T04:09:36,39,2020-08-17T14:00:32,10.3,242.9,0,NA,NA,95
2020-08-18T00:00:00,23,2020-08-18T15:09:52,2.3,2020-08-18T06:19:44,91,2020-08-18T04:20:16,37,2020-08-18T15:09:52,5,143.9,0,NA,NA,82
2020-08-19T00:00:00,23.1,2020-08-19T14:00:32,8.2,2020-08-19T23:20:32,75,2020-08-19T05:40:16,21,2020-08-19T16:20:16,15.9,300.6,0,NA,NA,100
2020-08-20T00:00:00,19.5,2020-08-20T14:30:24,7.8,2020-08-20T23:39:44,66,2020-08-20T23:39:44,36,2020-08-20T13:29:36,17,275.8,0,NA,NA,92
2020-08-21T00:00:00,20,2020-08-21T15:39:44,2.9,2020-08-21T05:49:52,83,2020-08-21T05:29:36,32,2020-08-21T14:49:36,11.3,254.8,0,NA,NA,99
2020-08-22T00:00:00,9.1,2020-08-22T05:10:24,5.7,2020-08-22T01:20:00,67,2020-08-22T01:20:00,59,2020-08-22T00:29:52,7.4,297.2,0,NA,NA,0
2020-08-23T00:00:00,16.8,2020-08-23T15:20:32,4.7,2020-08-23T23:50:24,64,2020-08-23T06:02:40,30,2020-08-23T15:39:44,18.4,256.4,0,NA,NA,43
2020-08-24T00:00:00,18.1,2020-08-24T15:30:08,0.3,2020-08-24T06:02:40,72,2020-08-24T04:20:16,30,2020-08-24T15:09:52,11.3,251.8,0,NA,NA,99
2020-08-25T00:00:00,19.4,2020-08-25T15:00:16,-2.4,2020-08-25T06:10:08,77,2020-08-25T05:49:52,26,2020-08-25T14:10:08,8.5,199.7,0,NA,NA,101
2020-08-26T00:00:00,23.8,2020-08-26T14:19:44,-0.9,2020-08-26T06:19:44,78,2020-08-26T04:59:44,29,2020-08-26T14:19:44,6.5,122.6,0,NA,NA,99
2020-08-27T00:00:00,23.5,2020-08-27T14:00:32,5.7,2020-08-27T06:40:00,88,2020-08-27T06:19:44,27,2020-08-27T16:20:16,4.8,151.6,0,NA,NA,89
2020-08-28T00:00:00,23.6,2020-08-28T14:40:00,3.3,2020-08-28T05:40:16,85,2020-08-28T06:02:40,18,2020-08-28T14:19:44,9.1,195.4,0,NA,NA,115
2020-08-29T00:00:00,24.1,2020-08-29T15:20:32,6.2,2020-08-29T03:20:32,80,2020-08-29T04:00:00,32,2020-08-29T15:09:52,10.3,104.3,0,NA,NA,114
2020-08-30T00:00:00,23.6,2020-08-30T14:49:36,5.9,2020-08-30T03:09:52,90,2020-08-30T03:39:44,40,2020-08-30T15:30:08,8.9,94.8,0,NA,NA,106
2020-08-31T00:00:00,26.4,2020-08-31T15:30:08,5.5,2020-08-31T06:10:08,90,2020-08-31T04:50:08,30,2020-08-31T15:09:52,6.4,204.8,0,NA,NA,115
2020-09-01T00:00:00,28.6,2020-09-01T15:39:44,3.4,2020-09-01T05:40:16,80,2020-09-01T05:49:52,22,2020-09-01T15:39:44,8.3,152.6,0,NA,NA,110
2020-09-02T00:00:00,27.1,2020-09-02T15:00:16,10.5,2020-09-02T06:40:00,89,2020-09-02T06:49:36,31,2020-09-02T14:49:36,10.1,96.5,0,NA,NA,82
2020-09-03T00:00:00,27.6,2020-09-03T14:00:32,12.1,2020-09-03T06:40:00,87,2020-09-03T06:02:40,31,2020-09-03T14:00:32,7.4,108.4,0,NA,NA,84
2020-09-04T00:00:00,28.2,2020-09-04T14:00:32,10.6,2020-09-04T05:40:16,90,2020-09-04T06:10:08,33,2020-09-04T15:09:52,8.6,88.2,0,NA,NA,91
2020-09-05T00:00:00,27.2,2020-09-05T15:30:08,10.1,2020-09-05T04:59:44,86,2020-09-05T05:20:00,38,2020-09-05T15:30:08,9.9,193,0,NA,NA,103
2020-09-06T00:00:00,24.9,2020-09-06T12:50:08,11.5,2020-09-06T03:39:44,88,2020-09-06T06:19:44,48,2020-09-06T15:50:24,19.1,134.5,0,NA,NA,109
